,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,George Town,5.4112,100.3354,77.9,86,20,3.44,MY,1629674739
1,Kapaa,22.0752,-159.319,88.12,64,20,5.01,US,1629674740
2,Punta Arenas,-53.15,-70.9167,37.51,93,90,13.8,CL,1629674636
3,Ponta do Sol,32.6667,-17.1,72.72,78,0,3.22,PT,1629674744
4,Independence,39.0911,-94.4155,88.95,68,20,1.99,US,1629674488
5,Alice Springs,-23.7,133.8833,60.35,48,11,19.57,AU,1629674747
6,Saint Paul Harbor,57.79,-152.4072,56.71,94,90,8.05,US,1629674748
7,Katherine,-14.4667,132.2667,77.32,53,0,5.75,AU,1629674750
8,Lebu,-37.6167,-73.65,46.58,74,63,3.96,CL,1629674751
9,Port Lincoln,-34.7333,135.8667,52.97,60,61,21.65,AU,1629674754
10,Muros,42.7762,-9.0603,72.23,78,2,11.86,ES,1629674754
11,Jamestown,42.097,-79.2353,78.44,71,20,3.0,US,1629674500
12,Panvel,18.9833,73.1,78.87,89,66,4.32,IN,1629674755
13,Yamoussoukro,6.8206,-5.2767,75.09,94,75,6.91,CI,1629674755
14,Bredasdorp,-34.5322,20.0403,45.72,93,0,2.3,ZA,1629674756
15,Dikson,73.5069,80.5464,40.33,92,100,4.34,RU,1629674757
16,Upernavik,72.7868,-56.1549,38.39,91,97,14.99,GL,1629674757
17,Qaanaaq,77.484,-69.3632,34.61,75,11,1.32,GL,1629674758
18,Garoua,9.3,13.4,75.6,100,0,3.44,CM,1629674759
19,Ushuaia,-54.8,-68.3,35.26,69,40,2.3,AR,1629674597
20,Albany,42.6001,-73.9662,74.55,94,97,1.01,US,1629674519
21,Usogorsk,63.4106,48.6872,60.6,97,85,10.25,RU,1629674760
22,Atuona,-9.8,-139.0333,77.38,74,6,18.9,PF,1629674761
23,Bathsheba,13.2167,-59.5167,83.01,83,40,19.57,BB,1629674761
24,Westport,41.1415,-73.3579,73.76,95,90,3.0,US,1629674762
25,Mataura,-46.1927,168.8643,55.47,68,100,4.92,NZ,1629674762
26,Bluff,-46.6,168.3333,55.8,77,100,13.6,NZ,1629674763
27,Webuye,0.6075,34.7697,58.66,81,41,4.97,KE,1629674763
28,Kununurra,-15.7667,128.7333,80.51,23,0,1.72,AU,1629674766
29,Aldan,58.6031,125.3894,54.57,98,100,3.51,RU,1629674767
30,Granada,37.25,-3.25,76.12,39,83,4.94,ES,1629674590
31,Butaritari,3.0707,172.7902,82.83,70,41,10.0,KI,1629674768
32,Cape Town,-33.9258,18.4232,52.12,93,0,3.44,ZA,1629674694
33,Malibu,34.005,-118.8101,87.28,76,30,10.0,US,1629674585
34,Kruisfontein,-34.0033,24.7314,44.89,86,0,3.58,ZA,1629674775
35,Airai,-8.9266,125.4092,62.26,62,41,2.82,TL,1629674776
36,Yangi Marg`ilon,40.4272,71.7189,75.92,41,6,9.22,UZ,1629674776
37,Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,8.05,CA,1629674777
38,Yellowknife,62.456,-114.3525,57.72,47,20,5.75,CA,1629674779
39,Okha,53.5739,142.9478,64.54,72,7,12.3,RU,1629674780
40,Tuatapere,-46.1333,167.6833,55.81,75,100,7.38,NZ,1629674780
41,Bethel,41.3712,-73.414,72.36,94,100,1.99,US,1629674781
42,Rikitea,-23.1203,-134.9692,68.79,58,59,16.31,PF,1629674782
43,Port Alfred,-33.5906,26.891,56.43,78,0,5.86,ZA,1629674782
44,Castro,-24.7911,-50.0119,63.39,48,0,2.26,BR,1629674783
45,Quimper,48.0,-4.1,59.83,100,0,3.44,FR,1629674784
46,Celestún,20.8667,-90.4,84.49,74,72,19.46,MX,1629674784
47,Arrondissement de Saint-Denis,48.9167,2.3333,63.21,83,0,3.44,FR,1629674785
48,Novomikhaylovskiy,44.2581,38.8578,69.73,90,8,8.34,RU,1629674786
49,Klaksvík,62.2266,-6.589,52.72,97,100,4.0,FO,1629674786
50,Souillac,-20.5167,57.5167,70.18,64,75,6.91,MU,1629674787
51,Barrow,71.2906,-156.7887,35.62,69,90,13.8,US,1629674788
52,Vaini,-21.2,-175.2,69.71,76,10,18.97,TO,1629674788
53,Nanortalik,60.1432,-45.2371,47.46,77,35,2.91,GL,1629674789
54,Busselton,-33.65,115.3333,41.09,79,0,9.93,AU,1629674789
55,Huanren,41.2647,125.3667,64.85,99,100,5.37,CN,1629674790
56,Fortuna,40.5982,-124.1573,79.41,67,1,7.0,US,1629674791
57,Karratha,-20.7377,116.8463,69.4,60,1,8.97,AU,1629674792
58,Mount Gambier,-37.8333,140.7667,46.31,93,75,3.44,AU,1629674792
59,La Foa,-21.7108,165.8276,75.06,57,5,3.56,NC,1629674793
60,New Norfolk,-42.7826,147.0587,49.91,71,86,3.44,AU,1629674794
61,Ribeira Grande,38.5167,-28.7,75.18,91,67,20.87,PT,1629674794
62,Chenzhou,25.8,113.0333,78.4,86,100,5.1,CN,1629674795
63,Carnarvon,-24.8667,113.6333,55.47,45,60,10.36,AU,1629674796
64,Pisco,-13.7,-76.2167,64.02,77,0,8.05,PE,1629674796
65,Wajima,37.4,136.9,77.68,100,75,5.75,JP,1629674797
66,Carauari,-4.8828,-66.8958,82.45,62,57,3.62,BR,1629674797
67,Puerto Ayora,-0.7393,-90.3518,72.55,88,95,7.0,EC,1629674798
68,Bengkulu,-3.8004,102.2655,74.12,92,98,5.84,ID,1629674799
69,Hermanus,-34.4187,19.2345,51.91,79,0,3.94,ZA,1629674800
70,Deep River,46.1001,-77.4995,80.94,89,100,2.01,CA,1629674800
71,Tasiilaq,65.6145,-37.6368,44.76,94,82,3.04,GL,1629674801
72,Saint-Philippe,-21.3585,55.7679,63.95,69,0,8.97,RE,1629674802
73,Tiksi,71.6872,128.8694,40.51,97,100,4.85,RU,1629674803
74,Acajutla,13.5928,-89.8275,93.54,78,86,11.63,SV,1629674803
75,Sheridan,44.8333,-106.9173,81.46,26,1,4.0,US,1629674743
76,San Patricio,28.017,-97.5169,95.09,48,30,14.29,US,1629674804
77,Cranbrook,49.4999,-115.7688,64.24,55,75,17.27,CA,1629674805
78,Namatanai,-3.6667,152.4333,83.52,69,69,2.89,PG,1629674591
79,Yambio,4.5721,28.3955,66.0,98,98,1.01,SS,1629674806
80,Sunrise Manor,36.2111,-115.0731,101.82,4,1,14.97,US,1629674806
81,Mahébourg,-20.4081,57.7,70.09,64,75,6.91,MU,1629674806
82,Eston,51.1501,-108.7514,67.89,74,100,16.64,CA,1629674807
83,Praia da Vitória,38.7333,-27.0667,75.76,83,40,20.2,PT,1629674808
84,Necochea,-38.5473,-58.7368,45.03,80,74,8.32,AR,1629674810
85,Henties Bay,-22.116,14.2845,54.86,84,2,4.59,NA,1629674811
86,Hithadhoo,-0.6,73.0833,81.97,70,39,10.07,MV,1629674811
87,Ilulissat,69.2167,-51.1,46.42,71,38,2.3,GL,1629674812
88,Saint George,37.1041,-113.5841,99.19,18,1,1.01,US,1629674766
89,Raudeberg,61.9875,5.1352,52.47,92,25,13.87,NO,1629674814
90,Sibolga,1.7427,98.7792,76.08,80,100,2.77,ID,1629674814
91,Manitouwadge,49.1215,-85.8403,66.92,42,17,0.87,CA,1629674815
92,Hobart,-42.8794,147.3294,50.25,76,75,4.0,AU,1629674815
93,The Valley,18.217,-63.0578,84.34,79,40,13.8,AI,1629674815
94,Batié,9.8833,-2.9167,72.36,92,97,4.47,BF,1629674816
95,Yar-Sale,66.8333,70.8333,57.31,86,99,6.69,RU,1629674818
96,Xiaoweizhai,26.1903,107.5125,72.55,97,100,4.7,CN,1629674819
97,Nishihara,26.1842,127.7558,85.28,88,75,10.36,JP,1629674821
98,Marang,5.2056,103.2059,75.11,89,100,3.11,MY,1629674822
99,Oeiras do Pará,-2.0031,-49.8544,81.1,65,45,5.1,BR,1629674824
100,Uinskoye,56.8817,56.5813,69.26,53,98,6.35,RU,1629674825
101,Codrington,-38.2667,141.9667,49.35,73,77,14.41,AU,1629674826
102,Ciudad del Carmen,18.6333,-91.8333,82.44,89,75,11.5,MX,1629674811
103,Vao,-22.6667,167.4833,68.02,58,46,17.2,NC,1629674828
104,Hilo,19.7297,-155.09,86.29,72,40,18.41,US,1629674598
105,Ati,13.2154,18.3353,72.16,88,100,25.95,TD,1629674831
106,Winnemucca,40.973,-117.7357,86.05,12,90,12.66,US,1629674832
107,Iqaluit,63.7506,-68.5145,40.73,93,90,27.63,CA,1629674833
108,Dingle,10.9995,122.6711,77.76,87,100,2.62,PH,1629674834
109,Rundu,-17.9333,19.7667,65.41,24,0,6.17,NA,1629674835
110,Arraial do Cabo,-22.9661,-42.0278,70.9,83,0,26.69,BR,1629674836
111,Wichian Buri,15.6578,101.106,76.93,88,92,2.33,TH,1629674838
112,Aitape,-3.1374,142.3475,80.44,69,99,2.26,PG,1629674591
113,Bambous Virieux,-20.3428,57.7575,70.05,64,75,6.91,MU,1629674840
114,Aklavik,68.2191,-135.0107,56.23,56,96,5.44,CA,1629674841
115,Haines Junction,60.7522,-137.5108,62.55,34,7,3.44,CA,1629674842
116,Natal,-5.795,-35.2094,77.65,88,75,9.22,BR,1629674842
117,Spanish Town,17.9911,-76.9574,85.62,77,20,19.57,JM,1629674842
118,Lüderitz,-26.6481,15.1594,56.73,57,0,6.08,NA,1629674843
119,Sechura,-5.5569,-80.8222,70.05,67,50,17.13,PE,1629674845
120,Tommot,58.9564,126.2925,58.44,97,100,2.26,RU,1629674846
121,Mehrān,33.1222,46.1646,87.28,10,0,7.56,IR,1629674848
122,Huandacareo,19.9833,-101.2833,66.15,97,97,2.95,MX,1629674849
123,Soe,-9.8607,124.284,66.36,68,18,3.67,ID,1629674850
124,Scarborough,54.2797,-0.4044,60.08,91,85,1.01,GB,1629674851
